sex	age	l	m	s	loh
1	0	1	49.8842	0.03795	L
1	1	1	50.0601	0.03785	L
1	2	1	50.2359	0.03775	L
1	3	1	50.4118	0.03764	L
1	4	1	50.5876	0.03754	L
1	5	1	50.7635	0.03744	L
1	6	1	50.9393	0.03734	L
1	7	1	51.1152	0.03723	L
1	8	1	51.291	0.03713	L
1	9	1	51.4669	0.03703	L
1	10	1	51.6427	0.03693	L
1	11	1	51.8186	0.03682	L
1	12	1	51.9944	0.03672	L
1	13	1	52.1702	0.03662	L
1	14	1	52.3461	0.03652	L
1	15	1	52.4978	0.03645	L
1	16	1	52.6488	0.03639	L
1	17	1	52.799	0.03633	L
1	18	1	52.9483	0.03627	L
1	19	1	53.0967	0.03621	L
1	20	1	53.2441	0.03615	L
1	21	1	53.3905	0.03609	L
1	22	1	53.536	0.03603	L
1	23	1	53.6805	0.03597	L
1	24	1	53.8239	0.03592	L
1	25	1	53.9664	0.03586	L
1	26	1	54.1079	0.03581	L
1	27	1	54.2485	0.03575	L
1	28	1	54.3881	0.0357	L
1	29	1	54.5268	0.03565	L
1	30	1	54.6645	0.03559	L
1	31	1	54.8012	0.03554	L
1	32	1	54.9368	0.03549	L
1	33	1	55.0714	0.03544	L
1	34	1	55.2049	0.03539	L
1	35	1	55.3374	0.03534	L
1	36	1	55.4688	0.03529	L
1	37	1	55.5992	0.03524	L
1	38	1	55.7285	0.0352	L
1	39	1	55.8568	0.03515	L
1	40	1	55.9841	0.0351	L
1	41	1	56.1104	0.03506	L
1	42	1	56.2357	0.03501	L
1	43	1	56.3599	0.03496	L
1	44	1	56.4833	0.03492	L
1	45	1	56.6056	0.03488	L
1	46	1	56.7269	0.03483	L
1	47	1	56.8472	0.03479	L
1	48	1	56.9666	0.03475	L
1	49	1	57.0851	0.0347	L
1	50	1	57.2026	0.03466	L
1	51	1	57.3192	0.03462	L
1	52	1	57.4349	0.03458	L
1	53	1	57.5497	0.03454	L
1	54	1	57.6637	0.0345	L
1	55	1	57.7767	0.03446	L
1	56	1	57.8889	0.03442	L
1	57	1	58.0003	0.03438	L
1	58	1	58.1109	0.03434	L
1	59	1	58.2207	0.03431	L
1	60	1	58.3299	0.03427	L
1	61	1	58.4384	0.03423	L
1	62	1	58.5463	0.0342	L
1	63	1	58.6536	0.03416	L
1	64	1	58.7603	0.03412	L
1	65	1	58.8664	0.03409	L
1	66	1	58.9718	0.03405	L
1	67	1	59.0766	0.03402	L
1	68	1	59.1808	0.03398	L
1	69	1	59.2843	0.03395	L
1	70	1	59.3872	0.03392	L
1	71	1	59.4894	0.03388	L
1	72	1	59.591	0.03385	L
1	73	1	59.692	0.03382	L
1	74	1	59.7923	0.03379	L
1	75	1	59.892	0.03375	L
1	76	1	59.991	0.03372	L
1	77	1	60.0894	0.03369	L
1	78	1	60.1872	0.03366	L
1	79	1	60.2843	0.03363	L
1	80	1	60.3808	0.0336	L
1	81	1	60.4767	0.03357	L
1	82	1	60.5719	0.03354	L
1	83	1	60.6665	0.03351	L
1	84	1	60.7605	0.03348	L
1	85	1	60.8539	0.03345	L
1	86	1	60.9466	0.03342	L
1	87	1	61.0388	0.0334	L
1	88	1	61.1303	0.03337	L
1	89	1	61.2212	0.03334	L
1	90	1	61.3115	0.03331	L
1	91	1	61.4013	0.03329	L
1	92	1	61.4904	0.03326	L
1	93	1	61.579	0.03323	L
1	94	1	61.667	0.03321	L
1	95	1	61.7543	0.03318	L
1	96	1	61.8411	0.03316	L
1	97	1	61.9274	0.03313	L
1	98	1	62.013	0.03311	L
1	99	1	62.0981	0.03308	L
1	100	1	62.1826	0.03306	L
1	101	1	62.2665	0.03303	L
1	102	1	62.3499	0.03301	L
1	103	1	62.4327	0.03298	L
1	104	1	62.5149	0.03296	L
1	105	1	62.5966	0.03294	L
1	106	1	62.6778	0.03291	L
1	107	1	62.7584	0.03289	L
1	108	1	62.8384	0.03287	L
1	109	1	62.918	0.03284	L
1	110	1	62.9969	0.03282	L
1	111	1	63.0754	0.0328	L
1	112	1	63.1533	0.03278	L
1	113	1	63.2307	0.03276	L
1	114	1	63.3076	0.03273	L
1	115	1	63.3839	0.03271	L
1	116	1	63.4598	0.03269	L
1	117	1	63.5351	0.03267	L
1	118	1	63.6099	0.03265	L
1	119	1	63.6842	0.03263	L
1	120	1	63.758	0.03261	L
1	121	1	63.8313	0.03259	L
1	122	1	63.9041	0.03257	L
1	123	1	63.9765	0.03255	L
1	124	1	64.0483	0.03253	L
1	125	1	64.1197	0.03251	L
1	126	1	64.1906	0.03249	L
1	127	1	64.261	0.03247	L
1	128	1	64.331	0.03245	L
1	129	1	64.4006	0.03243	L
1	130	1	64.4697	0.03241	L
1	131	1	64.5383	0.03239	L
1	132	1	64.6066	0.03238	L
1	133	1	64.6744	0.03236	L
1	134	1	64.7418	0.03234	L
1	135	1	64.8088	0.03232	L
1	136	1	64.8755	0.0323	L
1	137	1	64.9417	0.03229	L
1	138	1	65.0075	0.03227	L
1	139	1	65.073	0.03225	L
1	140	1	65.138	0.03223	L
1	141	1	65.2027	0.03222	L
1	142	1	65.2671	0.0322	L
1	143	1	65.331	0.03218	L
1	144	1	65.3946	0.03217	L
1	145	1	65.4579	0.03215	L
1	146	1	65.5208	0.03214	L
1	147	1	65.5834	0.03212	L
1	148	1	65.6456	0.0321	L
1	149	1	65.7075	0.03209	L
1	150	1	65.769	0.03207	L
1	151	1	65.8303	0.03206	L
1	152	1	65.8912	0.03204	L
1	153	1	65.9518	0.03203	L
1	154	1	66.0121	0.03201	L
1	155	1	66.0721	0.032	L
1	156	1	66.1317	0.03198	L
1	157	1	66.1911	0.03197	L
1	158	1	66.2502	0.03196	L
1	159	1	66.3089	0.03194	L
1	160	1	66.3674	0.03193	L
1	161	1	66.4256	0.03191	L
1	162	1	66.4835	0.0319	L
1	163	1	66.5412	0.03189	L
1	164	1	66.5985	0.03187	L
1	165	1	66.6556	0.03186	L
1	166	1	66.7125	0.03185	L
1	167	1	66.7691	0.03183	L
1	168	1	66.8254	0.03182	L
1	169	1	66.8815	0.03181	L
1	170	1	66.9373	0.0318	L
1	171	1	66.993	0.03179	L
1	172	1	67.0483	0.03177	L
1	173	1	67.1035	0.03176	L
1	174	1	67.1584	0.03175	L
1	175	1	67.2132	0.03174	L
1	176	1	67.2677	0.03173	L
1	177	1	67.3219	0.03171	L
1	178	1	67.376	0.0317	L
1	179	1	67.4299	0.03169	L
1	180	1	67.4836	0.03168	L
1	181	1	67.5371	0.03167	L
1	182	1	67.5904	0.03166	L
1	183	1	67.6435	0.03165	L
1	184	1	67.6964	0.03164	L
1	185	1	67.7491	0.03163	L
1	186	1	67.8017	0.03162	L
1	187	1	67.8541	0.03161	L
1	188	1	67.9062	0.0316	L
1	189	1	67.9583	0.03159	L
1	190	1	68.0101	0.03158	L
1	191	1	68.0618	0.03157	L
1	192	1	68.1133	0.03156	L
1	193	1	68.1647	0.03155	L
1	194	1	68.2158	0.03154	L
1	195	1	68.2669	0.03153	L
1	196	1	68.3177	0.03152	L
1	197	1	68.3685	0.03152	L
1	198	1	68.419	0.03151	L
1	199	1	68.4695	0.0315	L
1	200	1	68.5198	0.03149	L
1	201	1	68.5699	0.03148	L
