sex	age	l	m	s	loh
1	202	1	68.6199	0.03147	L
1	203	1	68.6698	0.03147	L
1	204	1	68.7195	0.03146	L
1	205	1	68.7691	0.03145	L
1	206	1	68.8186	0.03144	L
1	207	1	68.8679	0.03144	L
1	208	1	68.9171	0.03143	L
1	209	1	68.9662	0.03142	L
1	210	1	69.0152	0.03141	L
1	211	1	69.0641	0.03141	L
1	212	1	69.1128	0.0314	L
1	213	1	69.1615	0.03139	L
1	214	1	69.21	0.03139	L
1	215	1	69.2584	0.03138	L
1	216	1	69.3067	0.03137	L
1	217	1	69.3549	0.03137	L
1	218	1	69.4031	0.03136	L
1	219	1	69.4511	0.03136	L
1	220	1	69.499	0.03135	L
1	221	1	69.5468	0.03134	L
1	222	1	69.5945	0.03134	L
1	223	1	69.6421	0.03133	L
1	224	1	69.6896	0.03133	L
1	225	1	69.737	0.03132	L
1	226	1	69.7844	0.03132	L
1	227	1	69.8316	0.03131	L
1	228	1	69.8787	0.03131	L
1	229	1	69.9258	0.0313	L
1	230	1	69.9728	0.0313	L
1	231	1	70.0197	0.03129	L
1	232	1	70.0665	0.03129	L
1	233	1	70.1132	0.03128	L
1	234	1	70.1599	0.03128	L
1	235	1	70.2064	0.03127	L
1	236	1	70.2529	0.03127	L
1	237	1	70.2994	0.03126	L
1	238	1	70.3457	0.03126	L
1	239	1	70.392	0.03126	L
1	240	1	70.4382	0.03125	L
1	241	1	70.4843	0.03125	L
1	242	1	70.5304	0.03125	L
1	243	1	70.5764	0.03124	L
1	244	1	70.6224	0.03124	L
1	245	1	70.6683	0.03123	L
1	246	1	70.7141	0.03123	L
1	247	1	70.7598	0.03123	L
1	248	1	70.8055	0.03122	L
1	249	1	70.8511	0.03122	L
1	250	1	70.8967	0.03122	L
1	251	1	70.9422	0.03122	L
1	252	1	70.9876	0.03121	L
1	253	1	71.033	0.03121	L
1	254	1	71.0783	0.03121	L
1	255	1	71.1235	0.03121	L
1	256	1	71.1687	0.0312	L
1	257	1	71.2138	0.0312	L
1	258	1	71.2589	0.0312	L
1	259	1	71.3039	0.0312	L
1	260	1	71.3488	0.03119	L
1	261	1	71.3937	0.03119	L
1	262	1	71.4385	0.03119	L
1	263	1	71.4832	0.03119	L
1	264	1	71.5279	0.03119	L
1	265	1	71.5725	0.03118	L
1	266	1	71.6171	0.03118	L
1	267	1	71.6616	0.03118	L
1	268	1	71.706	0.03118	L
1	269	1	71.7504	0.03118	L
1	270	1	71.7947	0.03118	L
1	271	1	71.839	0.03118	L
1	272	1	71.8832	0.03118	L
1	273	1	71.9273	0.03117	L
1	274	1	71.9714	0.03117	L
1	275	1	72.0154	0.03117	L
1	276	1	72.0594	0.03117	L
1	277	1	72.1033	0.03117	L
1	278	1	72.1472	0.03117	L
1	279	1	72.1909	0.03117	L
1	280	1	72.2347	0.03117	L
1	281	1	72.2783	0.03117	L
1	282	1	72.3219	0.03117	L
1	283	1	72.3655	0.03117	L
1	284	1	72.4089	0.03117	L
1	285	1	72.4523	0.03117	L
1	286	1	72.4957	0.03117	L
1	287	1	72.539	0.03117	L
1	288	1	72.5822	0.03117	L
1	289	1	72.6253	0.03117	L
1	290	1	72.6684	0.03117	L
1	291	1	72.7115	0.03117	L
1	292	1	72.7544	0.03117	L
1	293	1	72.7974	0.03117	L
1	294	1	72.8402	0.03117	L
1	295	1	72.883	0.03117	L
1	296	1	72.9257	0.03117	L
1	297	1	72.9684	0.03117	L
1	298	1	73.011	0.03117	L
1	299	1	73.0535	0.03118	L
1	300	1	73.096	0.03118	L
1	301	1	73.1384	0.03118	L
1	302	1	73.1808	0.03118	L
1	303	1	73.2231	0.03118	L
1	304	1	73.2653	0.03118	L
1	305	1	73.3075	0.03118	L
1	306	1	73.3497	0.03118	L
1	307	1	73.3917	0.03119	L
1	308	1	73.4337	0.03119	L
1	309	1	73.4757	0.03119	L
1	310	1	73.5176	0.03119	L
1	311	1	73.5594	0.03119	L
1	312	1	73.6012	0.03119	L
1	313	1	73.6429	0.0312	L
1	314	1	73.6845	0.0312	L
1	315	1	73.7261	0.0312	L
1	316	1	73.7677	0.0312	L
1	317	1	73.8091	0.0312	L
1	318	1	73.8506	0.03121	L
1	319	1	73.8919	0.03121	L
1	320	1	73.9333	0.03121	L
1	321	1	73.9745	0.03121	L
1	322	1	74.0157	0.03122	L
1	323	1	74.0569	0.03122	L
1	324	1	74.0979	0.03122	L
1	325	1	74.139	0.03122	L
1	326	1	74.18	0.03123	L
1	327	1	74.2209	0.03123	L
1	328	1	74.2618	0.03123	L
1	329	1	74.3026	0.03124	L
1	330	1	74.3433	0.03124	L
1	331	1	74.3841	0.03124	L
1	332	1	74.4247	0.03124	L
1	333	1	74.4653	0.03125	L
1	334	1	74.5059	0.03125	L
1	335	1	74.5464	0.03125	L
1	336	1	74.5868	0.03126	L
1	337	1	74.6272	0.03126	L
1	338	1	74.6676	0.03126	L
1	339	1	74.7079	0.03127	L
1	340	1	74.7481	0.03127	L
1	341	1	74.7883	0.03127	L
1	342	1	74.8285	0.03128	L
1	343	1	74.8686	0.03128	L
1	344	1	74.9086	0.03128	L
1	345	1	74.9486	0.03129	L
1	346	1	74.9886	0.03129	L
1	347	1	75.0285	0.0313	L
1	348	1	75.0683	0.0313	L
1	349	1	75.1081	0.0313	L
1	350	1	75.1479	0.03131	L
1	351	1	75.1876	0.03131	L
1	352	1	75.2273	0.03132	L
1	353	1	75.2669	0.03132	L
1	354	1	75.3065	0.03132	L
1	355	1	75.346	0.03133	L
1	356	1	75.3855	0.03133	L
1	357	1	75.425	0.03134	L
1	358	1	75.4644	0.03134	L
1	359	1	75.5037	0.03135	L
1	360	1	75.5431	0.03135	L
1	361	1	75.5824	0.03136	L
1	362	1	75.6216	0.03136	L
1	363	1	75.6608	0.03136	L
1	364	1	75.6999	0.03137	L
1	365	1	75.7391	0.03137	L
1	366	1	75.7781	0.03138	L
1	367	1	75.8172	0.03138	L
1	368	1	75.8562	0.03139	L
1	369	1	75.8951	0.03139	L
1	370	1	75.934	0.0314	L
1	371	1	75.9729	0.0314	L
1	372	1	76.0117	0.03141	L
1	373	1	76.0505	0.03141	L
1	374	1	76.0892	0.03142	L
1	375	1	76.1279	0.03142	L
1	376	1	76.1665	0.03143	L
1	377	1	76.2051	0.03143	L
1	378	1	76.2437	0.03144	L
1	379	1	76.2822	0.03144	L
1	380	1	76.3207	0.03145	L
1	381	1	76.3591	0.03146	L
1	382	1	76.3975	0.03146	L
1	383	1	76.4358	0.03147	L
1	384	1	76.4741	0.03147	L
1	385	1	76.5124	0.03148	L
1	386	1	76.5506	0.03148	L
1	387	1	76.5888	0.03149	L
1	388	1	76.6269	0.03149	L
1	389	1	76.665	0.0315	L
1	390	1	76.703	0.03151	L
1	391	1	76.741	0.03151	L
1	392	1	76.779	0.03152	L
1	393	1	76.8169	0.03152	L
1	394	1	76.8548	0.03153	L
1	395	1	76.8926	0.03154	L
1	396	1	76.9304	0.03154	L
1	397	1	76.9682	0.03155	L
1	398	1	77.0059	0.03155	L
1	399	1	77.0435	0.03156	L
1	400	1	77.0812	0.03157	L
1	401	1	77.1187	0.03157	L
1	402	1	77.1563	0.03158	L
1	403	1	77.1938	0.03159	L
1	404	1	77.2313	0.03159	L
1	405	1	77.2687	0.0316	L
1	406	1	77.306	0.0316	L
1	407	1	77.3434	0.03161	L
1	408	1	77.3807	0.03162	L
1	409	1	77.4179	0.03162	L
1	410	1	77.4551	0.03163	L
1	411	1	77.4923	0.03164	L
1	412	1	77.5295	0.03164	L
1	413	1	77.5665	0.03165	L
1	414	1	77.6036	0.03166	L
1	415	1	77.6406	0.03166	L
1	416	1	77.6776	0.03167	L
1	417	1	77.7145	0.03168	L
1	418	1	77.7514	0.03168	L
1	419	1	77.7883	0.03169	L
1	420	1	77.8251	0.0317	L
1	421	1	77.8618	0.0317	L
1	422	1	77.8986	0.03171	L
1	423	1	77.9353	0.03172	L
1	424	1	77.9719	0.03172	L
1	425	1	78.0085	0.03173	L
1	426	1	78.0451	0.03174	L
1	427	1	78.0817	0.03175	L
1	428	1	78.1182	0.03175	L
1	429	1	78.1546	0.03176	L
1	430	1	78.1911	0.03177	L
1	431	1	78.2275	0.03177	L
1	432	1	78.2638	0.03178	L
1	433	1	78.3001	0.03179	L
1	434	1	78.3364	0.0318	L
1	435	1	78.3727	0.0318	L
1	436	1	78.4089	0.03181	L
1	437	1	78.4451	0.03182	L
1	438	1	78.4812	0.03183	L
1	439	1	78.5173	0.03183	L
1	440	1	78.5534	0.03184	L
1	441	1	78.5894	0.03185	L
1	442	1	78.6254	0.03186	L
1	443	1	78.6614	0.03186	L
1	444	1	78.6973	0.03187	L
1	445	1	78.7332	0.03188	L
1	446	1	78.7691	0.03189	L
1	447	1	78.8049	0.03189	L
1	448	1	78.8407	0.0319	L
1	449	1	78.8764	0.03191	L
1	450	1	78.9122	0.03192	L
1	451	1	78.9479	0.03192	L
1	452	1	78.9835	0.03193	L
1	453	1	79.0191	0.03194	L
1	454	1	79.0547	0.03195	L
1	455	1	79.0903	0.03196	L
1	456	1	79.1258	0.03196	L
1	457	1	79.1613	0.03197	L
1	458	1	79.1968	0.03198	L
1	459	1	79.2322	0.03199	L
1	460	1	79.2676	0.032	L
1	461	1	79.303	0.032	L
1	462	1	79.3383	0.03201	L
1	463	1	79.3736	0.03202	L
1	464	1	79.4089	0.03203	L
1	465	1	79.4441	0.03204	L
1	466	1	79.4793	0.03204	L
1	467	1	79.5145	0.03205	L
1	468	1	79.5496	0.03206	L
1	469	1	79.5847	0.03207	L
1	470	1	79.6198	0.03208	L
1	471	1	79.6548	0.03209	L
1	472	1	79.6898	0.03209	L
1	473	1	79.7248	0.0321	L
1	474	1	79.7598	0.03211	L
1	475	1	79.7947	0.03212	L
1	476	1	79.8296	0.03213	L
1	477	1	79.8644	0.03214	L
1	478	1	79.8993	0.03214	L
1	479	1	79.9341	0.03215	L
1	480	1	79.9688	0.03216	L
1	481	1	80.0036	0.03217	L
1	482	1	80.0383	0.03218	L
1	483	1	80.0729	0.03219	L
1	484	1	80.1076	0.0322	L
1	485	1	80.1422	0.0322	L
1	486	1	80.1768	0.03221	L
1	487	1	80.2113	0.03222	L
1	488	1	80.2459	0.03223	L
1	489	1	80.2804	0.03224	L
1	490	1	80.3148	0.03225	L
1	491	1	80.3493	0.03226	L
1	492	1	80.3837	0.03226	L
1	493	1	80.4181	0.03227	L
1	494	1	80.4524	0.03228	L
1	495	1	80.4867	0.03229	L
1	496	1	80.521	0.0323	L
1	497	1	80.5553	0.03231	L
1	498	1	80.5895	0.03232	L
1	499	1	80.6237	0.03233	L
1	500	1	80.6578	0.03234	L
1	501	1	80.692	0.03234	L
1	502	1	80.7261	0.03235	L
1	503	1	80.7602	0.03236	L
1	504	1	80.7942	0.03237	L
1	505	1	80.8282	0.03238	L
1	506	1	80.8622	0.03239	L
1	507	1	80.8961	0.0324	L
1	508	1	80.9301	0.03241	L
1	509	1	80.964	0.03242	L
1	510	1	80.9978	0.03243	L
1	511	1	81.0317	0.03244	L
1	512	1	81.0655	0.03245	L
1	513	1	81.0992	0.03245	L
1	514	1	81.133	0.03246	L
1	515	1	81.1667	0.03247	L
1	516	1	81.2004	0.03248	L
1	517	1	81.234	0.03249	L
1	518	1	81.2677	0.0325	L
1	519	1	81.3013	0.03251	L
1	520	1	81.3348	0.03252	L
1	521	1	81.3684	0.03253	L
1	522	1	81.4019	0.03254	L
1	523	1	81.4353	0.03255	L
1	524	1	81.4688	0.03256	L
1	525	1	81.5022	0.03257	L
1	526	1	81.5356	0.03258	L
1	527	1	81.569	0.03259	L
1	528	1	81.6023	0.0326	L
1	529	1	81.6356	0.03261	L
1	530	1	81.6689	0.03261	L
1	531	1	81.7021	0.03262	L
1	532	1	81.7353	0.03263	L
1	533	1	81.7685	0.03264	L
1	534	1	81.8017	0.03265	L
1	535	1	81.8348	0.03266	L
1	536	1	81.8679	0.03267	L
1	537	1	81.9009	0.03268	L
1	538	1	81.934	0.03269	L
1	539	1	81.967	0.0327	L
1	540	1	82	0.03271	L
1	541	1	82.0329	0.03272	L
1	542	1	82.0659	0.03273	L
1	543	1	82.0987	0.03274	L
1	544	1	82.1316	0.03275	L
1	545	1	82.1644	0.03276	L
1	546	1	82.1973	0.03277	L
1	547	1	82.23	0.03278	L
1	548	1	82.2628	0.03279	L
1	549	1	82.2955	0.0328	L
1	550	1	82.3282	0.03281	L
1	551	1	82.3609	0.03282	L
1	552	1	82.3935	0.03283	L
1	553	1	82.4261	0.03284	L
1	554	1	82.4587	0.03285	L
1	555	1	82.4912	0.03286	L
1	556	1	82.5237	0.03287	L
1	557	1	82.5562	0.03288	L
1	558	1	82.5887	0.03289	L
1	559	1	82.6211	0.0329	L
1	560	1	82.6535	0.03291	L
1	561	1	82.6859	0.03292	L
1	562	1	82.7182	0.03293	L
1	563	1	82.7505	0.03294	L
1	564	1	82.7828	0.03295	L
1	565	1	82.8151	0.03296	L
1	566	1	82.8473	0.03297	L
1	567	1	82.8795	0.03298	L
1	568	1	82.9117	0.03299	L
1	569	1	82.9438	0.033	L
1	570	1	82.9759	0.03301	L
1	571	1	83.008	0.03302	L
1	572	1	83.04	0.03303	L
1	573	1	83.0721	0.03304	L
1	574	1	83.1041	0.03305	L
1	575	1	83.136	0.03306	L
1	576	1	83.168	0.03308	L
1	577	1	83.1999	0.03309	L
1	578	1	83.2318	0.0331	L
1	579	1	83.2637	0.03311	L
1	580	1	83.2955	0.03312	L
1	581	1	83.3273	0.03313	L
1	582	1	83.3591	0.03314	L
1	583	1	83.3908	0.03315	L
1	584	1	83.4226	0.03316	L
1	585	1	83.4543	0.03317	L
1	586	1	83.4859	0.03318	L
1	587	1	83.5176	0.03319	L
1	588	1	83.5492	0.0332	L
1	589	1	83.5808	0.03321	L
1	590	1	83.6124	0.03322	L
1	591	1	83.6439	0.03323	L
1	592	1	83.6754	0.03324	L
1	593	1	83.7069	0.03325	L
1	594	1	83.7384	0.03326	L
1	595	1	83.7698	0.03327	L
1	596	1	83.8012	0.03329	L
1	597	1	83.8326	0.0333	L
1	598	1	83.864	0.03331	L
1	599	1	83.8953	0.03332	L
1	600	1	83.9267	0.03333	L
1	601	1	83.9579	0.03334	L
1	602	1	83.9892	0.03335	L
1	603	1	84.0205	0.03336	L
1	604	1	84.0517	0.03337	L
1	605	1	84.0829	0.03338	L
1	606	1	84.114	0.03339	L
1	607	1	84.1452	0.0334	L
1	608	1	84.1763	0.03341	L
1	609	1	84.2074	0.03342	L
1	610	1	84.2385	0.03344	L
1	611	1	84.2695	0.03345	L
1	612	1	84.3006	0.03346	L
1	613	1	84.3316	0.03347	L
1	614	1	84.3626	0.03348	L
1	615	1	84.3935	0.03349	L
1	616	1	84.4245	0.0335	L
1	617	1	84.4554	0.03351	L
1	618	1	84.4862	0.03352	L
1	619	1	84.5171	0.03353	L
1	620	1	84.5479	0.03354	L
1	621	1	84.5787	0.03356	L
1	622	1	84.6095	0.03357	L
1	623	1	84.6403	0.03358	L
1	624	1	84.671	0.03359	L
1	625	1	84.7017	0.0336	L
1	626	1	84.7324	0.03361	L
1	627	1	84.7631	0.03362	L
1	628	1	84.7937	0.03363	L
1	629	1	84.8243	0.03364	L
1	630	1	84.8549	0.03365	L
1	631	1	84.8855	0.03367	L
1	632	1	84.916	0.03368	L
1	633	1	84.9465	0.03369	L
1	634	1	84.977	0.0337	L
1	635	1	85.0075	0.03371	L
1	636	1	85.0379	0.03372	L
1	637	1	85.0683	0.03373	L
1	638	1	85.0987	0.03374	L
1	639	1	85.1291	0.03375	L
1	640	1	85.1594	0.03377	L
1	641	1	85.1897	0.03378	L
1	642	1	85.22	0.03379	L
1	643	1	85.2503	0.0338	L
1	644	1	85.2805	0.03381	L
1	645	1	85.3108	0.03382	L
1	646	1	85.341	0.03383	L
1	647	1	85.3711	0.03384	L
1	648	1	85.4013	0.03385	L
1	649	1	85.4314	0.03387	L
1	650	1	85.4615	0.03388	L
1	651	1	85.4916	0.03389	L
1	652	1	85.5217	0.0339	L
1	653	1	85.5517	0.03391	L
1	654	1	85.5817	0.03392	L
1	655	1	85.6117	0.03393	L
1	656	1	85.6417	0.03394	L
1	657	1	85.6716	0.03396	L
1	658	1	85.7015	0.03397	L
1	659	1	85.7314	0.03398	L
1	660	1	85.7613	0.03399	L
1	661	1	85.7912	0.034	L
1	662	1	85.821	0.03401	L
1	663	1	85.8508	0.03402	L
1	664	1	85.8806	0.03404	L
1	665	1	85.9104	0.03405	L
1	666	1	85.9401	0.03406	L
1	667	1	85.9698	0.03407	L
1	668	1	85.9995	0.03408	L
1	669	1	86.0292	0.03409	L
1	670	1	86.0589	0.0341	L
1	671	1	86.0885	0.03411	L
1	672	1	86.1181	0.03413	L
1	673	1	86.1477	0.03414	L
1	674	1	86.1773	0.03415	L
1	675	1	86.2068	0.03416	L
1	676	1	86.2363	0.03417	L
1	677	1	86.2659	0.03418	L
1	678	1	86.2954	0.03419	L
1	679	1	86.3248	0.03421	L
1	680	1	86.3543	0.03422	L
1	681	1	86.3837	0.03423	L
1	682	1	86.4131	0.03424	L
1	683	1	86.4425	0.03425	L
1	684	1	86.4719	0.03426	L
1	685	1	86.5012	0.03427	L
1	686	1	86.5306	0.03429	L
1	687	1	86.5599	0.0343	L
1	688	1	86.5892	0.03431	L
1	689	1	86.6184	0.03432	L
1	690	1	86.6477	0.03433	L
1	691	1	86.6769	0.03434	L
1	692	1	86.7061	0.03435	L
1	693	1	86.7353	0.03437	L
1	694	1	86.7645	0.03438	L
1	695	1	86.7937	0.03439	L
1	696	1	86.8228	0.0344	L
1	697	1	86.8519	0.03441	L
1	698	1	86.881	0.03442	L
1	699	1	86.9101	0.03443	L
1	700	1	86.9392	0.03445	L
1	701	1	86.9682	0.03446	L
1	702	1	86.9972	0.03447	L
1	703	1	87.0262	0.03448	L
1	704	1	87.0552	0.03449	L
1	705	1	87.0842	0.0345	L
1	706	1	87.1131	0.03451	L
1	707	1	87.142	0.03453	L
1	708	1	87.1709	0.03454	L
1	709	1	87.1998	0.03455	L
1	710	1	87.2287	0.03456	L
1	711	1	87.2575	0.03457	L
1	712	1	87.2863	0.03458	L
1	713	1	87.3151	0.03459	L
1	714	1	87.3439	0.03461	L
1	715	1	87.3727	0.03462	L
1	716	1	87.4014	0.03463	L
1	717	1	87.4302	0.03464	L
1	718	1	87.4589	0.03465	L
1	719	1	87.4876	0.03466	L
1	720	1	87.5162	0.03467	L
1	721	1	87.5449	0.03469	L
1	722	1	87.5735	0.0347	L
1	723	1	87.6021	0.03471	L
1	724	1	87.6307	0.03472	L
1	725	1	87.6593	0.03473	L
1	726	1	87.6878	0.03474	L
1	727	1	87.7164	0.03475	L
1	728	1	87.7449	0.03477	L
1	729	1	87.7734	0.03478	L
1	730	1	87.8018	0.03479	L
1	731	1	87.1303	0.03508	H
1	732	1	87.1587	0.03509	H
1	733	1	87.1871	0.0351	H
1	734	1	87.2155	0.03511	H
1	735	1	87.2439	0.03513	H
1	736	1	87.2722	0.03514	H
1	737	1	87.3006	0.03515	H
1	738	1	87.3289	0.03516	H
1	739	1	87.3571	0.03517	H
1	740	1	87.3854	0.03518	H
1	741	1	87.4136	0.03519	H
1	742	1	87.4419	0.03521	H
1	743	1	87.4701	0.03522	H
1	744	1	87.4982	0.03523	H
1	745	1	87.5264	0.03524	H
1	746	1	87.5545	0.03525	H
1	747	1	87.5826	0.03526	H
1	748	1	87.6107	0.03527	H
1	749	1	87.6388	0.03528	H
1	750	1	87.6668	0.0353	H
1	751	1	87.6948	0.03531	H
1	752	1	87.7228	0.03532	H
1	753	1	87.7508	0.03533	H
1	754	1	87.7788	0.03534	H
1	755	1	87.8067	0.03535	H
1	756	1	87.8346	0.03536	H
1	757	1	87.8625	0.03538	H
1	758	1	87.8903	0.03539	H
1	759	1	87.9181	0.0354	H
1	760	1	87.946	0.03541	H
1	761	1	87.9737	0.03542	H
1	762	1	88.0015	0.03543	H
1	763	1	88.0292	0.03544	H
1	764	1	88.057	0.03545	H
1	765	1	88.0846	0.03547	H
1	766	1	88.1123	0.03548	H
1	767	1	88.14	0.03549	H
1	768	1	88.1676	0.0355	H
1	769	1	88.1952	0.03551	H
1	770	1	88.2228	0.03552	H
1	771	1	88.2503	0.03553	H
1	772	1	88.2778	0.03555	H
1	773	1	88.3053	0.03556	H
1	774	1	88.3328	0.03557	H
1	775	1	88.3603	0.03558	H
1	776	1	88.3877	0.03559	H
1	777	1	88.4151	0.0356	H
1	778	1	88.4425	0.03561	H
1	779	1	88.4699	0.03562	H
