sex	height	l	m	s	lorh
1	65	-0.3521	7.4327	0.08217	H
1	65.1	-0.3521	7.4563	0.08216	H
1	65.2	-0.3521	7.4799	0.08216	H
1	65.3	-0.3521	7.5034	0.08215	H
1	65.4	-0.3521	7.5269	0.08214	H
1	65.5	-0.3521	7.5504	0.08214	H
1	65.6	-0.3521	7.5738	0.08214	H
1	65.7	-0.3521	7.5973	0.08213	H
1	65.8	-0.3521	7.6206	0.08213	H
1	65.9	-0.3521	7.644	0.08213	H
1	66	-0.3521	7.6673	0.08212	H
1	66.1	-0.3521	7.6906	0.08212	H
1	66.2	-0.3521	7.7138	0.08212	H
1	66.3	-0.3521	7.737	0.08212	H
1	66.4	-0.3521	7.7602	0.08212	H
1	66.5	-0.3521	7.7834	0.08212	H
1	66.6	-0.3521	7.8065	0.08212	H
1	66.7	-0.3521	7.8296	0.08212	H
1	66.8	-0.3521	7.8526	0.08212	H
1	66.9	-0.3521	7.8757	0.08212	H
1	67	-0.3521	7.8986	0.08213	H
1	67.1	-0.3521	7.9216	0.08213	H
1	67.2	-0.3521	7.9445	0.08213	H
1	67.3	-0.3521	7.9674	0.08214	H
1	67.4	-0.3521	7.9903	0.08214	H
1	67.5	-0.3521	8.0132	0.08214	H
1	67.6	-0.3521	8.036	0.08215	H
1	67.7	-0.3521	8.0588	0.08215	H
1	67.8	-0.3521	8.0816	0.08216	H
1	67.9	-0.3521	8.1044	0.08217	H
1	68	-0.3521	8.1272	0.08217	H
1	68.1	-0.3521	8.15	0.08218	H
1	68.2	-0.3521	8.1727	0.08219	H
1	68.3	-0.3521	8.1955	0.08219	H
1	68.4	-0.3521	8.2183	0.0822	H
1	68.5	-0.3521	8.241	0.08221	H
1	68.6	-0.3521	8.2638	0.08222	H
1	68.7	-0.3521	8.2865	0.08223	H
1	68.8	-0.3521	8.3092	0.08224	H
1	68.9	-0.3521	8.332	0.08225	H
1	69	-0.3521	8.3547	0.08226	H
1	69.1	-0.3521	8.3774	0.08227	H
1	69.2	-0.3521	8.4001	0.08228	H
1	69.3	-0.3521	8.4227	0.08229	H
1	69.4	-0.3521	8.4454	0.0823	H
1	69.5	-0.3521	8.468	0.08231	H
1	69.6	-0.3521	8.4906	0.08232	H
1	69.7	-0.3521	8.5132	0.08233	H
1	69.8	-0.3521	8.5358	0.08235	H
1	69.9	-0.3521	8.5583	0.08236	H
1	70	-0.3521	8.5808	0.08237	H
1	70.1	-0.3521	8.6032	0.08238	H
1	70.2	-0.3521	8.6257	0.0824	H
1	70.3	-0.3521	8.648	0.08241	H
1	70.4	-0.3521	8.6704	0.08242	H
1	70.5	-0.3521	8.6927	0.08243	H
1	70.6	-0.3521	8.715	0.08245	H
1	70.7	-0.3521	8.7372	0.08246	H
1	70.8	-0.3521	8.7594	0.08248	H
1	70.9	-0.3521	8.7815	0.08249	H
1	71	-0.3521	8.8036	0.0825	H
1	71.1	-0.3521	8.8257	0.08252	H
1	71.2	-0.3521	8.8477	0.08253	H
1	71.3	-0.3521	8.8697	0.08254	H
1	71.4	-0.3521	8.8916	0.08256	H
1	71.5	-0.3521	8.9135	0.08257	H
1	71.6	-0.3521	8.9353	0.08259	H
1	71.7	-0.3521	8.9571	0.0826	H
1	71.8	-0.3521	8.9788	0.08262	H
1	71.9	-0.3521	9.0005	0.08263	H
1	72	-0.3521	9.0221	0.08264	H
1	72.1	-0.3521	9.0436	0.08266	H
1	72.2	-0.3521	9.0651	0.08267	H
1	72.3	-0.3521	9.0865	0.08269	H
1	72.4	-0.3521	9.1079	0.0827	H
1	72.5	-0.3521	9.1292	0.08272	H
1	72.6	-0.3521	9.1504	0.08273	H
1	72.7	-0.3521	9.1716	0.08274	H
1	72.8	-0.3521	9.1927	0.08276	H
1	72.9	-0.3521	9.2137	0.08277	H
1	73	-0.3521	9.2347	0.08278	H
1	73.1	-0.3521	9.2557	0.0828	H
1	73.2	-0.3521	9.2766	0.08281	H
1	73.3	-0.3521	9.2974	0.08283	H
1	73.4	-0.3521	9.3182	0.08284	H
1	73.5	-0.3521	9.339	0.08285	H
1	73.6	-0.3521	9.3597	0.08287	H
1	73.7	-0.3521	9.3803	0.08288	H
1	73.8	-0.3521	9.401	0.08289	H
1	73.9	-0.3521	9.4215	0.0829	H
1	74	-0.3521	9.442	0.08292	H
