sex	height	l	m	s	lorh
1	74.1	-0.3521	9.4625	0.08293	H
1	74.2	-0.3521	9.4829	0.08294	H
1	74.3	-0.3521	9.5032	0.08295	H
1	74.4	-0.3521	9.5235	0.08297	H
1	74.5	-0.3521	9.5438	0.08298	H
1	74.6	-0.3521	9.5639	0.08299	H
1	74.7	-0.3521	9.5841	0.083	H
1	74.8	-0.3521	9.6041	0.08301	H
1	74.9	-0.3521	9.6241	0.08302	H
1	75	-0.3521	9.644	0.08303	H
1	75.1	-0.3521	9.6639	0.08305	H
1	75.2	-0.3521	9.6836	0.08306	H
1	75.3	-0.3521	9.7033	0.08307	H
1	75.4	-0.3521	9.723	0.08307	H
1	75.5	-0.3521	9.7425	0.08308	H
1	75.6	-0.3521	9.762	0.08309	H
1	75.7	-0.3521	9.7814	0.0831	H
1	75.8	-0.3521	9.8007	0.08311	H
1	75.9	-0.3521	9.82	0.08312	H
1	76	-0.3521	9.8392	0.08312	H
1	76.1	-0.3521	9.8583	0.08313	H
1	76.2	-0.3521	9.8773	0.08314	H
1	76.3	-0.3521	9.8963	0.08314	H
1	76.4	-0.3521	9.9152	0.08315	H
1	76.5	-0.3521	9.9341	0.08315	H
1	76.6	-0.3521	9.9528	0.08316	H
1	76.7	-0.3521	9.9716	0.08316	H
1	76.8	-0.3521	9.9902	0.08317	H
1	76.9	-0.3521	10.0088	0.08317	H
1	77	-0.3521	10.0274	0.08317	H
1	77.1	-0.3521	10.0459	0.08318	H
1	77.2	-0.3521	10.0643	0.08318	H
1	77.3	-0.3521	10.0827	0.08318	H
1	77.4	-0.3521	10.1011	0.08318	H
1	77.5	-0.3521	10.1194	0.08318	H
1	77.6	-0.3521	10.1377	0.08318	H
1	77.7	-0.3521	10.1559	0.08318	H
1	77.8	-0.3521	10.1741	0.08318	H
1	77.9	-0.3521	10.1923	0.08317	H
1	78	-0.3521	10.2105	0.08317	H
1	78.1	-0.3521	10.2286	0.08317	H
1	78.2	-0.3521	10.2468	0.08316	H
1	78.3	-0.3521	10.2649	0.08316	H
1	78.4	-0.3521	10.2831	0.08315	H
1	78.5	-0.3521	10.3012	0.08315	H
1	78.6	-0.3521	10.3194	0.08314	H
1	78.7	-0.3521	10.3376	0.08313	H
1	78.8	-0.3521	10.3558	0.08313	H
1	78.9	-0.3521	10.3741	0.08312	H
1	79	-0.3521	10.3923	0.08311	H
1	79.1	-0.3521	10.4107	0.0831	H
1	79.2	-0.3521	10.4291	0.08309	H
1	79.3	-0.3521	10.4475	0.08308	H
1	79.4	-0.3521	10.466	0.08307	H
1	79.5	-0.3521	10.4845	0.08305	H
1	79.6	-0.3521	10.5031	0.08304	H
1	79.7	-0.3521	10.5217	0.08303	H
1	79.8	-0.3521	10.5405	0.08301	H
1	79.9	-0.3521	10.5592	0.083	H
1	80	-0.3521	10.5781	0.08298	H
1	80.1	-0.3521	10.597	0.08297	H
1	80.2	-0.3521	10.6161	0.08295	H
1	80.3	-0.3521	10.6352	0.08293	H
1	80.4	-0.3521	10.6544	0.08291	H
1	80.5	-0.3521	10.6737	0.0829	H
1	80.6	-0.3521	10.6931	0.08288	H
1	80.7	-0.3521	10.7126	0.08286	H
1	80.8	-0.3521	10.7322	0.08284	H
1	80.9	-0.3521	10.752	0.08282	H
1	81	-0.3521	10.7718	0.08279	H
1	81.1	-0.3521	10.7918	0.08277	H
1	81.2	-0.3521	10.8119	0.08275	H
1	81.3	-0.3521	10.8321	0.08273	H
1	81.4	-0.3521	10.8524	0.0827	H
1	81.5	-0.3521	10.8728	0.08268	H
1	81.6	-0.3521	10.8934	0.08265	H
1	81.7	-0.3521	10.9142	0.08263	H
1	81.8	-0.3521	10.935	0.0826	H
1	81.9	-0.3521	10.956	0.08258	H
1	82	-0.3521	10.9772	0.08255	H
1	82.1	-0.3521	10.9985	0.08252	H
1	82.2	-0.3521	11.0199	0.08249	H
1	82.3	-0.3521	11.0415	0.08246	H
1	82.4	-0.3521	11.0632	0.08244	H
1	82.5	-0.3521	11.0851	0.08241	H
1	82.6	-0.3521	11.1071	0.08238	H
1	82.7	-0.3521	11.1293	0.08235	H
1	82.8	-0.3521	11.1516	0.08231	H
1	82.9	-0.3521	11.174	0.08228	H
1	83	-0.3521	11.1966	0.08225	H
1	83.1	-0.3521	11.2193	0.08222	H
1	83.2	-0.3521	11.2422	0.08219	H
1	83.3	-0.3521	11.2651	0.08215	H
1	83.4	-0.3521	11.2882	0.08212	H
1	83.5	-0.3521	11.3114	0.08209	H
1	83.6	-0.3521	11.3347	0.08205	H
1	83.7	-0.3521	11.3581	0.08202	H
1	83.8	-0.3521	11.3817	0.08198	H
1	83.9	-0.3521	11.4053	0.08195	H
1	84	-0.3521	11.429	0.08191	H
1	84.1	-0.3521	11.4529	0.08188	H
1	84.2	-0.3521	11.4768	0.08184	H
1	84.3	-0.3521	11.5007	0.08181	H
1	84.4	-0.3521	11.5248	0.08177	H
1	84.5	-0.3521	11.549	0.08174	H
1	84.6	-0.3521	11.5732	0.0817	H
1	84.7	-0.3521	11.5975	0.08166	H
1	84.8	-0.3521	11.6218	0.08163	H
1	84.9	-0.3521	11.6462	0.08159	H
1	85	-0.3521	11.6707	0.08156	H
1	85.1	-0.3521	11.6952	0.08152	H
1	85.2	-0.3521	11.7198	0.08148	H
1	85.3	-0.3521	11.7444	0.08145	H
1	85.4	-0.3521	11.769	0.08141	H
1	85.5	-0.3521	11.7937	0.08138	H
1	85.6	-0.3521	11.8184	0.08134	H
1	85.7	-0.3521	11.8431	0.08131	H
1	85.8	-0.3521	11.8678	0.08128	H
1	85.9	-0.3521	11.8926	0.08124	H
1	86	-0.3521	11.9173	0.08121	H
1	86.1	-0.3521	11.9421	0.08118	H
1	86.2	-0.3521	11.9668	0.08114	H
1	86.3	-0.3521	11.9916	0.08111	H
1	86.4	-0.3521	12.0163	0.08108	H
1	86.5	-0.3521	12.0411	0.08105	H
1	86.6	-0.3521	12.0658	0.08102	H
1	86.7	-0.3521	12.0905	0.08099	H
1	86.8	-0.3521	12.1152	0.08096	H
1	86.9	-0.3521	12.1398	0.08093	H
1	87	-0.3521	12.1645	0.0809	H
1	87.1	-0.3521	12.1891	0.08087	H
1	87.2	-0.3521	12.2136	0.08084	H
1	87.3	-0.3521	12.2382	0.08082	H
1	87.4	-0.3521	12.2627	0.08079	H
1	87.5	-0.3521	12.2871	0.08076	H
1	87.6	-0.3521	12.3116	0.08074	H
1	87.7	-0.3521	12.336	0.08071	H
1	87.8	-0.3521	12.3603	0.08069	H
1	87.9	-0.3521	12.3846	0.08067	H
1	88	-0.3521	12.4089	0.08064	H
1	88.1	-0.3521	12.4332	0.08062	H
1	88.2	-0.3521	12.4574	0.0806	H
1	88.3	-0.3521	12.4815	0.08058	H
1	88.4	-0.3521	12.5057	0.08056	H
1	88.5	-0.3521	12.5298	0.08054	H
1	88.6	-0.3521	12.5538	0.08052	H
1	88.7	-0.3521	12.5778	0.0805	H
1	88.8	-0.3521	12.6017	0.08048	H
1	88.9	-0.3521	12.6257	0.08047	H
1	89	-0.3521	12.6495	0.08045	H
1	89.1	-0.3521	12.6734	0.08044	H
1	89.2	-0.3521	12.6972	0.08042	H
1	89.3	-0.3521	12.7209	0.08041	H
1	89.4	-0.3521	12.7446	0.08039	H
1	89.5	-0.3521	12.7683	0.08038	H
1	89.6	-0.3521	12.792	0.08037	H
1	89.7	-0.3521	12.8156	0.08035	H
1	89.8	-0.3521	12.8392	0.08034	H
1	89.9	-0.3521	12.8628	0.08033	H
1	90	-0.3521	12.8864	0.08032	H
1	90.1	-0.3521	12.9099	0.08031	H
1	90.2	-0.3521	12.9334	0.0803	H
1	90.3	-0.3521	12.9569	0.0803	H
1	90.4	-0.3521	12.9804	0.08029	H
1	90.5	-0.3521	13.0038	0.08028	H
1	90.6	-0.3521	13.0273	0.08027	H
1	90.7	-0.3521	13.0507	0.08027	H
1	90.8	-0.3521	13.0742	0.08026	H
1	90.9	-0.3521	13.0976	0.08026	H
1	91	-0.3521	13.1209	0.08025	H
1	91.1	-0.3521	13.1443	0.08025	H
1	91.2	-0.3521	13.1677	0.08025	H
1	91.3	-0.3521	13.191	0.08025	H
1	91.4	-0.3521	13.2143	0.08025	H
1	91.5	-0.3521	13.2376	0.08024	H
1	91.6	-0.3521	13.2609	0.08024	H
1	91.7	-0.3521	13.2842	0.08024	H
1	91.8	-0.3521	13.3075	0.08025	H
1	91.9	-0.3521	13.3308	0.08025	H
1	92	-0.3521	13.3541	0.08025	H
1	92.1	-0.3521	13.3773	0.08025	H
1	92.2	-0.3521	13.4006	0.08026	H
1	92.3	-0.3521	13.4239	0.08026	H
1	92.4	-0.3521	13.4472	0.08027	H
1	92.5	-0.3521	13.4705	0.08027	H
1	92.6	-0.3521	13.4937	0.08028	H
1	92.7	-0.3521	13.5171	0.08028	H
1	92.8	-0.3521	13.5404	0.08029	H
1	92.9	-0.3521	13.5637	0.0803	H
1	93	-0.3521	13.587	0.08031	H
1	93.1	-0.3521	13.6104	0.08032	H
1	93.2	-0.3521	13.6338	0.08033	H
1	93.3	-0.3521	13.6572	0.08034	H
1	93.4	-0.3521	13.6806	0.08035	H
1	93.5	-0.3521	13.7041	0.08036	H
1	93.6	-0.3521	13.7275	0.08037	H
1	93.7	-0.3521	13.751	0.08038	H
1	93.8	-0.3521	13.7746	0.0804	H
1	93.9	-0.3521	13.7981	0.08041	H
1	94	-0.3521	13.8217	0.08043	H
1	94.1	-0.3521	13.8454	0.08044	H
1	94.2	-0.3521	13.8691	0.08046	H
1	94.3	-0.3521	13.8928	0.08047	H
1	94.4	-0.3521	13.9165	0.08049	H
1	94.5	-0.3521	13.9403	0.08051	H
1	94.6	-0.3521	13.9642	0.08052	H
1	94.7	-0.3521	13.9881	0.08054	H
1	94.8	-0.3521	14.012	0.08056	H
1	94.9	-0.3521	14.036	0.08058	H
1	95	-0.3521	14.06	0.0806	H
1	95.1	-0.3521	14.0841	0.08062	H
1	95.2	-0.3521	14.1083	0.08064	H
1	95.3	-0.3521	14.1325	0.08067	H
1	95.4	-0.3521	14.1567	0.08069	H
1	95.5	-0.3521	14.1811	0.08071	H
1	95.6	-0.3521	14.2055	0.08073	H
1	95.7	-0.3521	14.2299	0.08076	H
1	95.8	-0.3521	14.2544	0.08078	H
1	95.9	-0.3521	14.279	0.08081	H
1	96	-0.3521	14.3037	0.08083	H
1	96.1	-0.3521	14.3284	0.08086	H
1	96.2	-0.3521	14.3533	0.08089	H
1	96.3	-0.3521	14.3782	0.08092	H
1	96.4	-0.3521	14.4031	0.08094	H
1	96.5	-0.3521	14.4282	0.08097	H
1	96.6	-0.3521	14.4533	0.081	H
1	96.7	-0.3521	14.4785	0.08103	H
1	96.8	-0.3521	14.5038	0.08106	H
1	96.9	-0.3521	14.5292	0.08109	H
1	97	-0.3521	14.5547	0.08112	H
1	97.1	-0.3521	14.5802	0.08116	H
1	97.2	-0.3521	14.6058	0.08119	H
1	97.3	-0.3521	14.6316	0.08122	H
1	97.4	-0.3521	14.6574	0.08125	H
1	97.5	-0.3521	14.6832	0.08129	H
1	97.6	-0.3521	14.7092	0.08132	H
1	97.7	-0.3521	14.7353	0.08136	H
1	97.8	-0.3521	14.7614	0.08139	H
1	97.9	-0.3521	14.7877	0.08143	H
1	98	-0.3521	14.814	0.08146	H
1	98.1	-0.3521	14.8404	0.0815	H
1	98.2	-0.3521	14.8669	0.08154	H
1	98.3	-0.3521	14.8934	0.08157	H
1	98.4	-0.3521	14.9201	0.08161	H
1	98.5	-0.3521	14.9468	0.08165	H
1	98.6	-0.3521	14.9736	0.08169	H
1	98.7	-0.3521	15.0005	0.08173	H
1	98.8	-0.3521	15.0275	0.08177	H
1	98.9	-0.3521	15.0546	0.08181	H
1	99	-0.3521	15.0818	0.08185	H
1	99.1	-0.3521	15.109	0.08189	H
1	99.2	-0.3521	15.1363	0.08194	H
1	99.3	-0.3521	15.1637	0.08198	H
1	99.4	-0.3521	15.1912	0.08202	H
1	99.5	-0.3521	15.2187	0.08206	H
1	99.6	-0.3521	15.2463	0.08211	H
1	99.7	-0.3521	15.274	0.08215	H
1	99.8	-0.3521	15.3018	0.0822	H
1	99.9	-0.3521	15.3297	0.08224	H
1	100	-0.3521	15.3576	0.08229	H
1	100.1	-0.3521	15.3856	0.08233	H
1	100.2	-0.3521	15.4137	0.08238	H
1	100.3	-0.3521	15.4419	0.08243	H
1	100.4	-0.3521	15.4701	0.08247	H
1	100.5	-0.3521	15.4985	0.08252	H
1	100.6	-0.3521	15.5268	0.08257	H
1	100.7	-0.3521	15.5553	0.08262	H
1	100.8	-0.3521	15.5838	0.08267	H
1	100.9	-0.3521	15.6125	0.08272	H
1	101	-0.3521	15.6412	0.08277	H
1	101.1	-0.3521	15.6699	0.08281	H
1	101.2	-0.3521	15.6987	0.08287	H
1	101.3	-0.3521	15.7276	0.08292	H
1	101.4	-0.3521	15.7566	0.08297	H
1	101.5	-0.3521	15.7857	0.08302	H
1	101.6	-0.3521	15.8148	0.08307	H
1	101.7	-0.3521	15.844	0.08312	H
1	101.8	-0.3521	15.8732	0.08317	H
1	101.9	-0.3521	15.9026	0.08322	H
1	102	-0.3521	15.932	0.08328	H
1	102.1	-0.3521	15.9615	0.08333	H
1	102.2	-0.3521	15.991	0.08338	H
1	102.3	-0.3521	16.0206	0.08343	H
1	102.4	-0.3521	16.0503	0.08349	H
1	102.5	-0.3521	16.0801	0.08354	H
1	102.6	-0.3521	16.1099	0.08359	H
1	102.7	-0.3521	16.1398	0.08365	H
1	102.8	-0.3521	16.1697	0.0837	H
1	102.9	-0.3521	16.1997	0.08376	H
1	103	-0.3521	16.2298	0.08381	H
1	103.1	-0.3521	16.26	0.08386	H
1	103.2	-0.3521	16.2902	0.08392	H
1	103.3	-0.3521	16.3204	0.08397	H
1	103.4	-0.3521	16.3508	0.08403	H
1	103.5	-0.3521	16.3812	0.08408	H
1	103.6	-0.3521	16.4117	0.08414	H
1	103.7	-0.3521	16.4422	0.08419	H
1	103.8	-0.3521	16.4728	0.08425	H
1	103.9	-0.3521	16.5035	0.08431	H
1	104	-0.3521	16.5342	0.08436	H
1	104.1	-0.3521	16.565	0.08442	H
1	104.2	-0.3521	16.5959	0.08447	H
1	104.3	-0.3521	16.6268	0.08453	H
1	104.4	-0.3521	16.6579	0.08458	H
1	104.5	-0.3521	16.6889	0.08464	H
1	104.6	-0.3521	16.7201	0.0847	H
1	104.7	-0.3521	16.7513	0.08475	H
1	104.8	-0.3521	16.7826	0.08481	H
1	104.9	-0.3521	16.8139	0.08487	H
1	105	-0.3521	16.8454	0.08493	H
1	105.1	-0.3521	16.8769	0.08498	H
1	105.2	-0.3521	16.9084	0.08504	H
1	105.3	-0.3521	16.9401	0.0851	H
1	105.4	-0.3521	16.9718	0.08516	H
1	105.5	-0.3521	17.0036	0.08521	H
1	105.6	-0.3521	17.0355	0.08527	H
1	105.7	-0.3521	17.0674	0.08533	H
1	105.8	-0.3521	17.0995	0.08539	H
1	105.9	-0.3521	17.1316	0.08545	H
1	106	-0.3521	17.1637	0.08551	H
1	106.1	-0.3521	17.196	0.08557	H
1	106.2	-0.3521	17.2283	0.08562	H
1	106.3	-0.3521	17.2607	0.08568	H
1	106.4	-0.3521	17.2931	0.08574	H
1	106.5	-0.3521	17.3256	0.0858	H
1	106.6	-0.3521	17.3582	0.08586	H
1	106.7	-0.3521	17.3909	0.08592	H
1	106.8	-0.3521	17.4237	0.08599	H
1	106.9	-0.3521	17.4565	0.08605	H
1	107	-0.3521	17.4894	0.08611	H
1	107.1	-0.3521	17.5224	0.08617	H
1	107.2	-0.3521	17.5554	0.08623	H
1	107.3	-0.3521	17.5885	0.08629	H
1	107.4	-0.3521	17.6217	0.08635	H
1	107.5	-0.3521	17.655	0.08641	H
1	107.6	-0.3521	17.6884	0.08648	H
1	107.7	-0.3521	17.7218	0.08654	H
1	107.8	-0.3521	17.7553	0.0866	H
1	107.9	-0.3521	17.7889	0.08666	H
1	108	-0.3521	17.8226	0.08673	H
1	108.1	-0.3521	17.8564	0.08679	H
1	108.2	-0.3521	17.8903	0.08685	H
1	108.3	-0.3521	17.9242	0.08691	H
1	108.4	-0.3521	17.9583	0.08698	H
1	108.5	-0.3521	17.9924	0.08704	H
1	108.6	-0.3521	18.0267	0.0871	H
1	108.7	-0.3521	18.061	0.08717	H
1	108.8	-0.3521	18.0954	0.08723	H
1	108.9	-0.3521	18.1299	0.0873	H
1	109	-0.3521	18.1645	0.08736	H
1	109.1	-0.3521	18.1992	0.08742	H
1	109.2	-0.3521	18.234	0.08749	H
1	109.3	-0.3521	18.2689	0.08755	H
1	109.4	-0.3521	18.3039	0.08762	H
1	109.5	-0.3521	18.339	0.08768	H
1	109.6	-0.3521	18.3742	0.08774	H
1	109.7	-0.3521	18.4094	0.08781	H
1	109.8	-0.3521	18.4448	0.08787	H
1	109.9	-0.3521	18.4802	0.08794	H
1	110	-0.3521	18.5158	0.088	H
1	110.1	-0.3521	18.5514	0.08806	H
1	110.2	-0.3521	18.5871	0.08813	H
1	110.3	-0.3521	18.6229	0.08819	H
1	110.4	-0.3521	18.6588	0.08826	H
1	110.5	-0.3521	18.6948	0.08832	H
1	110.6	-0.3521	18.7308	0.08838	H
1	110.7	-0.3521	18.767	0.08845	H
1	110.8	-0.3521	18.8032	0.08851	H
1	110.9	-0.3521	18.8395	0.08858	H
1	111	-0.3521	18.8759	0.08864	H
1	111.1	-0.3521	18.9123	0.08871	H
1	111.2	-0.3521	18.9489	0.08877	H
1	111.3	-0.3521	18.9855	0.08883	H
1	111.4	-0.3521	19.0222	0.0889	H
1	111.5	-0.3521	19.059	0.08896	H
1	111.6	-0.3521	19.0958	0.08903	H
1	111.7	-0.3521	19.1327	0.08909	H
1	111.8	-0.3521	19.1697	0.08915	H
1	111.9	-0.3521	19.2067	0.08922	H
1	112	-0.3521	19.2439	0.08928	H
1	112.1	-0.3521	19.281	0.08934	H
1	112.2	-0.3521	19.3183	0.08941	H
1	112.3	-0.3521	19.3556	0.08947	H
1	112.4	-0.3521	19.393	0.08953	H
1	112.5	-0.3521	19.4304	0.0896	H
1	112.6	-0.3521	19.4679	0.08966	H
1	112.7	-0.3521	19.5055	0.08972	H
1	112.8	-0.3521	19.5431	0.08979	H
1	112.9	-0.3521	19.5807	0.08985	H
1	113	-0.3521	19.6185	0.08991	H
1	113.1	-0.3521	19.6563	0.08997	H
1	113.2	-0.3521	19.6941	0.09004	H
1	113.3	-0.3521	19.7321	0.0901	H
1	113.4	-0.3521	19.77	0.09016	H
1	113.5	-0.3521	19.8081	0.09022	H
1	113.6	-0.3521	19.8461	0.09029	H
1	113.7	-0.3521	19.8843	0.09035	H
1	113.8	-0.3521	19.9225	0.09041	H
1	113.9	-0.3521	19.9607	0.09047	H
1	114	-0.3521	19.999	0.09054	H
1	114.1	-0.3521	20.0373	0.0906	H
1	114.2	-0.3521	20.0757	0.09066	H
1	114.3	-0.3521	20.1142	0.09072	H
1	114.4	-0.3521	20.1527	0.09079	H
1	114.5	-0.3521	20.1912	0.09085	H
1	114.6	-0.3521	20.2298	0.09091	H
1	114.7	-0.3521	20.2684	0.09097	H
1	114.8	-0.3521	20.3071	0.09103	H
1	114.9	-0.3521	20.3458	0.0911	H
1	115	-0.3521	20.3846	0.09116	H
1	115.1	-0.3521	20.4233	0.09122	H
1	115.2	-0.3521	20.4622	0.09128	H
1	115.3	-0.3521	20.501	0.09134	H
1	115.4	-0.3521	20.54	0.0914	H
1	115.5	-0.3521	20.5789	0.09147	H
1	115.6	-0.3521	20.6179	0.09153	H
1	115.7	-0.3521	20.6569	0.09159	H
1	115.8	-0.3521	20.6959	0.09165	H
1	115.9	-0.3521	20.735	0.09171	H
1	116	-0.3521	20.7741	0.09177	H
1	116.1	-0.3521	20.8132	0.09183	H
1	116.2	-0.3521	20.8524	0.0919	H
1	116.3	-0.3521	20.8916	0.09196	H
1	116.4	-0.3521	20.9308	0.09202	H
1	116.5	-0.3521	20.97	0.09208	H
1	116.6	-0.3521	21.0093	0.09214	H
1	116.7	-0.3521	21.0486	0.0922	H
1	116.8	-0.3521	21.0879	0.09227	H
1	116.9	-0.3521	21.1272	0.09233	H
1	117	-0.3521	21.1666	0.09239	H
1	117.1	-0.3521	21.2059	0.09245	H
1	117.2	-0.3521	21.2453	0.09251	H
1	117.3	-0.3521	21.2847	0.09257	H
1	117.4	-0.3521	21.3242	0.09263	H
1	117.5	-0.3521	21.3636	0.0927	H
1	117.6	-0.3521	21.4031	0.09276	H
1	117.7	-0.3521	21.4426	0.09282	H
1	117.8	-0.3521	21.482	0.09288	H
1	117.9	-0.3521	21.5215	0.09294	H
1	118	-0.3521	21.5611	0.093	H
1	118.1	-0.3521	21.6006	0.09307	H
1	118.2	-0.3521	21.6401	0.09313	H
1	118.3	-0.3521	21.6797	0.09319	H
1	118.4	-0.3521	21.7193	0.09325	H
1	118.5	-0.3521	21.7588	0.09331	H
1	118.6	-0.3521	21.7984	0.09338	H
1	118.7	-0.3521	21.838	0.09344	H
1	118.8	-0.3521	21.8776	0.0935	H
1	118.9	-0.3521	21.9172	0.09356	H
1	119	-0.3521	21.9568	0.09362	H
1	119.1	-0.3521	21.9964	0.09368	H
1	119.2	-0.3521	22.036	0.09375	H
1	119.3	-0.3521	22.0757	0.09381	H
1	119.4	-0.3521	22.1153	0.09387	H
1	119.5	-0.3521	22.1549	0.09393	H
1	119.6	-0.3521	22.1945	0.09399	H
1	119.7	-0.3521	22.2341	0.09406	H
1	119.8	-0.3521	22.2738	0.09412	H
1	119.9	-0.3521	22.3134	0.09418	H
1	120	-0.3521	22.353	0.09424	H
2	65	-0.3833	7.2402	0.09113	H
2	65.1	-0.3833	7.2627	0.09112	H
2	65.2	-0.3833	7.2852	0.09111	H
2	65.3	-0.3833	7.3076	0.0911	H
2	65.4	-0.3833	7.33	0.09109	H
2	65.5	-0.3833	7.3523	0.09109	H
2	65.6	-0.3833	7.3745	0.09108	H
2	65.7	-0.3833	7.3967	0.09107	H
2	65.8	-0.3833	7.4189	0.09106	H
2	65.9	-0.3833	7.441	0.09105	H
2	66	-0.3833	7.463	0.09104	H
2	66.1	-0.3833	7.485	0.09103	H
2	66.2	-0.3833	7.5069	0.09102	H
2	66.3	-0.3833	7.5288	0.09101	H
2	66.4	-0.3833	7.5507	0.091	H
2	66.5	-0.3833	7.5724	0.09099	H
2	66.6	-0.3833	7.5942	0.09098	H
2	66.7	-0.3833	7.6158	0.09097	H
2	66.8	-0.3833	7.6375	0.09096	H
2	66.9	-0.3833	7.659	0.09095	H
2	67	-0.3833	7.6806	0.09094	H
2	67.1	-0.3833	7.702	0.09093	H
2	67.2	-0.3833	7.7234	0.09091	H
2	67.3	-0.3833	7.7448	0.0909	H
2	67.4	-0.3833	7.7661	0.09089	H
2	67.5	-0.3833	7.7874	0.09088	H
2	67.6	-0.3833	7.8086	0.09087	H
2	67.7	-0.3833	7.8298	0.09086	H
2	67.8	-0.3833	7.8509	0.09085	H
2	67.9	-0.3833	7.872	0.09084	H
2	68	-0.3833	7.893	0.09083	H
2	68.1	-0.3833	7.914	0.09082	H
2	68.2	-0.3833	7.935	0.0908	H
2	68.3	-0.3833	7.9559	0.09079	H
2	68.4	-0.3833	7.9768	0.09078	H
2	68.5	-0.3833	7.9976	0.09077	H
2	68.6	-0.3833	8.0184	0.09076	H
2	68.7	-0.3833	8.0392	0.09075	H
2	68.8	-0.3833	8.0599	0.09074	H
