sex	length	l	m	s	lorh
1	45	-0.3521	2.441	0.09182	L
1	45.1	-0.3521	2.4577	0.09176	L
1	45.2	-0.3521	2.4744	0.0917	L
1	45.3	-0.3521	2.4911	0.09164	L
1	45.4	-0.3521	2.5078	0.09159	L
1	45.5	-0.3521	2.5244	0.09153	L
1	45.6	-0.3521	2.5411	0.09147	L
1	45.7	-0.3521	2.5578	0.09141	L
1	45.8	-0.3521	2.5744	0.09135	L
1	45.9	-0.3521	2.5911	0.09129	L
1	46	-0.3521	2.6077	0.09124	L
1	46.1	-0.3521	2.6244	0.09118	L
1	46.2	-0.3521	2.6411	0.09112	L
1	46.3	-0.3521	2.6578	0.09106	L
1	46.4	-0.3521	2.6745	0.091	L
1	46.5	-0.3521	2.6913	0.09094	L
1	46.6	-0.3521	2.7081	0.09088	L
1	46.7	-0.3521	2.7249	0.09083	L
1	46.8	-0.3521	2.7417	0.09077	L
1	46.9	-0.3521	2.7586	0.09071	L
1	47	-0.3521	2.7755	0.09065	L
1	47.1	-0.3521	2.7925	0.09059	L
1	47.2	-0.3521	2.8095	0.09053	L
1	47.3	-0.3521	2.8266	0.09047	L
1	47.4	-0.3521	2.8437	0.09042	L
1	47.5	-0.3521	2.8609	0.09036	L
1	47.6	-0.3521	2.8782	0.0903	L
1	47.7	-0.3521	2.8955	0.09024	L
1	47.8	-0.3521	2.9129	0.09018	L
1	47.9	-0.3521	2.9304	0.09012	L
1	48	-0.3521	2.948	0.09007	L
1	48.1	-0.3521	2.9657	0.09001	L
1	48.2	-0.3521	2.9835	0.08995	L
1	48.3	-0.3521	3.0014	0.08989	L
1	48.4	-0.3521	3.0195	0.08983	L
1	48.5	-0.3521	3.0377	0.08977	L
1	48.6	-0.3521	3.056	0.08972	L
1	48.7	-0.3521	3.0745	0.08966	L
1	48.8	-0.3521	3.0931	0.0896	L
1	48.9	-0.3521	3.1119	0.08954	L
1	49	-0.3521	3.1308	0.08948	L
1	49.1	-0.3521	3.1499	0.08943	L
1	49.2	-0.3521	3.1691	0.08937	L
1	49.3	-0.3521	3.1884	0.08931	L
1	49.4	-0.3521	3.2079	0.08925	L
1	49.5	-0.3521	3.2276	0.08919	L
1	49.6	-0.3521	3.2473	0.08913	L
1	49.7	-0.3521	3.2672	0.08908	L
1	49.8	-0.3521	3.2873	0.08902	L
1	49.9	-0.3521	3.3075	0.08896	L
1	50	-0.3521	3.3278	0.0889	L
1	50.1	-0.3521	3.3482	0.08884	L
1	50.2	-0.3521	3.3688	0.08878	L
1	50.3	-0.3521	3.3894	0.08872	L
1	50.4	-0.3521	3.4102	0.08867	L
1	50.5	-0.3521	3.4311	0.08861	L
1	50.6	-0.3521	3.4522	0.08855	L
1	50.7	-0.3521	3.4733	0.08849	L
1	50.8	-0.3521	3.4946	0.08843	L
1	50.9	-0.3521	3.5161	0.08837	L
1	51	-0.3521	3.5376	0.08831	L
1	51.1	-0.3521	3.5593	0.08825	L
1	51.2	-0.3521	3.5812	0.08819	L
1	51.3	-0.3521	3.6032	0.08813	L
1	51.4	-0.3521	3.6254	0.08807	L
1	51.5	-0.3521	3.6477	0.08801	L
1	51.6	-0.3521	3.6702	0.08795	L
1	51.7	-0.3521	3.6929	0.08789	L
1	51.8	-0.3521	3.7157	0.08783	L
1	51.9	-0.3521	3.7388	0.08777	L
1	52	-0.3521	3.762	0.08771	L
1	52.1	-0.3521	3.7855	0.08765	L
1	52.2	-0.3521	3.8092	0.08759	L
1	52.3	-0.3521	3.833	0.08753	L
1	52.4	-0.3521	3.8571	0.08747	L
1	52.5	-0.3521	3.8814	0.08741	L
1	52.6	-0.3521	3.9059	0.08735	L
1	52.7	-0.3521	3.9306	0.08729	L
1	52.8	-0.3521	3.9555	0.08723	L
1	52.9	-0.3521	3.9806	0.08717	L
1	53	-0.3521	4.006	0.08711	L
1	53.1	-0.3521	4.0315	0.08705	L
1	53.2	-0.3521	4.0572	0.08699	L
1	53.3	-0.3521	4.0831	0.08693	L
1	53.4	-0.3521	4.1092	0.08687	L
1	53.5	-0.3521	4.1354	0.08681	L
1	53.6	-0.3521	4.1619	0.08675	L
1	53.7	-0.3521	4.1885	0.08669	L
1	53.8	-0.3521	4.2153	0.08663	L
1	53.9	-0.3521	4.2422	0.08657	L
1	54	-0.3521	4.2693	0.08651	L
1	54.1	-0.3521	4.2965	0.08645	L
1	54.2	-0.3521	4.3239	0.08639	L
1	54.3	-0.3521	4.3513	0.08633	L
1	54.4	-0.3521	4.3789	0.08627	L
1	54.5	-0.3521	4.4066	0.08621	L
1	54.6	-0.3521	4.4344	0.08615	L
1	54.7	-0.3521	4.4623	0.0861	L
1	54.8	-0.3521	4.4903	0.08604	L
1	54.9	-0.3521	4.5185	0.08598	L
1	55	-0.3521	4.5467	0.08592	L
1	55.1	-0.3521	4.575	0.08586	L
1	55.2	-0.3521	4.6034	0.0858	L
1	55.3	-0.3521	4.6319	0.08575	L
1	55.4	-0.3521	4.6605	0.08569	L
1	55.5	-0.3521	4.6892	0.08563	L
1	55.6	-0.3521	4.718	0.08558	L
1	55.7	-0.3521	4.7469	0.08552	L
1	55.8	-0.3521	4.7758	0.08546	L
1	55.9	-0.3521	4.8048	0.08541	L
1	56	-0.3521	4.8338	0.08535	L
1	56.1	-0.3521	4.8629	0.08529	L
1	56.2	-0.3521	4.892	0.08524	L
1	56.3	-0.3521	4.9212	0.08518	L
1	56.4	-0.3521	4.9504	0.08513	L
1	56.5	-0.3521	4.9796	0.08507	L
1	56.6	-0.3521	5.0088	0.08502	L
1	56.7	-0.3521	5.0381	0.08497	L
1	56.8	-0.3521	5.0673	0.08491	L
1	56.9	-0.3521	5.0966	0.08486	L
1	57	-0.3521	5.1259	0.08481	L
1	57.1	-0.3521	5.1551	0.08475	L
1	57.2	-0.3521	5.1844	0.0847	L
1	57.3	-0.3521	5.2137	0.08465	L
1	57.4	-0.3521	5.2429	0.0846	L
1	57.5	-0.3521	5.2721	0.08455	L
1	57.6	-0.3521	5.3014	0.08449	L
1	57.7	-0.3521	5.3306	0.08444	L
1	57.8	-0.3521	5.3598	0.08439	L
1	57.9	-0.3521	5.3889	0.08434	L
1	58	-0.3521	5.418	0.0843	L
1	58.1	-0.3521	5.4471	0.08425	L
1	58.2	-0.3521	5.4762	0.0842	L
1	58.3	-0.3521	5.5053	0.08415	L
1	58.4	-0.3521	5.5343	0.0841	L
1	58.5	-0.3521	5.5632	0.08406	L
1	58.6	-0.3521	5.5922	0.08401	L
1	58.7	-0.3521	5.621	0.08397	L
1	58.8	-0.3521	5.6499	0.08392	L
1	58.9	-0.3521	5.6787	0.08388	L
1	59	-0.3521	5.7074	0.08383	L
1	59.1	-0.3521	5.7361	0.08379	L
1	59.2	-0.3521	5.7647	0.08375	L
1	59.3	-0.3521	5.7933	0.0837	L
1	59.4	-0.3521	5.8217	0.08366	L
1	59.5	-0.3521	5.8501	0.08362	L
1	59.6	-0.3521	5.8784	0.08358	L
1	59.7	-0.3521	5.9067	0.08354	L
1	59.8	-0.3521	5.9348	0.0835	L
1	59.9	-0.3521	5.9628	0.08346	L
1	60	-0.3521	5.9907	0.08342	L
1	60.1	-0.3521	6.0185	0.08339	L
1	60.2	-0.3521	6.0461	0.08335	L
1	60.3	-0.3521	6.0737	0.08331	L
1	60.4	-0.3521	6.1011	0.08328	L
1	60.5	-0.3521	6.1284	0.08324	L
1	60.6	-0.3521	6.1556	0.08321	L
1	60.7	-0.3521	6.1827	0.08317	L
1	60.8	-0.3521	6.2096	0.08314	L
1	60.9	-0.3521	6.2365	0.08311	L
1	61	-0.3521	6.2632	0.08308	L
1	61.1	-0.3521	6.2899	0.08304	L
1	61.2	-0.3521	6.3164	0.08301	L
1	61.3	-0.3521	6.3428	0.08298	L
1	61.4	-0.3521	6.3692	0.08295	L
1	61.5	-0.3521	6.3954	0.08292	L
1	61.6	-0.3521	6.4215	0.0829	L
1	61.7	-0.3521	6.4475	0.08287	L
1	61.8	-0.3521	6.4735	0.08284	L
1	61.9	-0.3521	6.4993	0.08281	L
1	62	-0.3521	6.5251	0.08279	L
1	62.1	-0.3521	6.5508	0.08276	L
1	62.2	-0.3521	6.5764	0.08273	L
1	62.3	-0.3521	6.6019	0.08271	L
1	62.4	-0.3521	6.6273	0.08268	L
1	62.5	-0.3521	6.6527	0.08266	L
1	62.6	-0.3521	6.678	0.08264	L
1	62.7	-0.3521	6.7033	0.08261	L
1	62.8	-0.3521	6.7284	0.08259	L
1	62.9	-0.3521	6.7535	0.08257	L
1	63	-0.3521	6.7786	0.08255	L
1	63.1	-0.3521	6.8035	0.08253	L
1	63.2	-0.3521	6.8285	0.08251	L
1	63.3	-0.3521	6.8533	0.08249	L
1	63.4	-0.3521	6.8781	0.08247	L
1	63.5	-0.3521	6.9028	0.08245	L
1	63.6	-0.3521	6.9275	0.08243	L
1	63.7	-0.3521	6.9521	0.08241	L
1	63.8	-0.3521	6.9766	0.0824	L
1	63.9	-0.3521	7.0011	0.08238	L
1	64	-0.3521	7.0255	0.08236	L
1	64.1	-0.3521	7.0499	0.08235	L
1	64.2	-0.3521	7.0742	0.08233	L
1	64.3	-0.3521	7.0984	0.08232	L
