sex	length	l	m	s	lorh
1	64.4	-0.3521	7.1226	0.0823	L
1	64.5	-0.3521	7.1467	0.08229	L
1	64.6	-0.3521	7.1708	0.08228	L
1	64.7	-0.3521	7.1948	0.08227	L
1	64.8	-0.3521	7.2188	0.08225	L
1	64.9	-0.3521	7.2427	0.08224	L
1	65	-0.3521	7.2666	0.08223	L
1	65.1	-0.3521	7.2905	0.08222	L
1	65.2	-0.3521	7.3143	0.08221	L
1	65.3	-0.3521	7.338	0.0822	L
1	65.4	-0.3521	7.3617	0.08219	L
1	65.5	-0.3521	7.3854	0.08218	L
1	65.6	-0.3521	7.4091	0.08218	L
1	65.7	-0.3521	7.4327	0.08217	L
1	65.8	-0.3521	7.4563	0.08216	L
1	65.9	-0.3521	7.4799	0.08216	L
1	66	-0.3521	7.5034	0.08215	L
1	66.1	-0.3521	7.5269	0.08214	L
1	66.2	-0.3521	7.5504	0.08214	L
1	66.3	-0.3521	7.5738	0.08214	L
1	66.4	-0.3521	7.5973	0.08213	L
1	66.5	-0.3521	7.6206	0.08213	L
1	66.6	-0.3521	7.644	0.08213	L
1	66.7	-0.3521	7.6673	0.08212	L
1	66.8	-0.3521	7.6906	0.08212	L
1	66.9	-0.3521	7.7138	0.08212	L
1	67	-0.3521	7.737	0.08212	L
1	67.1	-0.3521	7.7602	0.08212	L
1	67.2	-0.3521	7.7834	0.08212	L
1	67.3	-0.3521	7.8065	0.08212	L
1	67.4	-0.3521	7.8296	0.08212	L
1	67.5	-0.3521	7.8526	0.08212	L
1	67.6	-0.3521	7.8757	0.08212	L
1	67.7	-0.3521	7.8986	0.08213	L
1	67.8	-0.3521	7.9216	0.08213	L
1	67.9	-0.3521	7.9445	0.08213	L
1	68	-0.3521	7.9674	0.08214	L
1	68.1	-0.3521	7.9903	0.08214	L
1	68.2	-0.3521	8.0132	0.08214	L
1	68.3	-0.3521	8.036	0.08215	L
1	68.4	-0.3521	8.0588	0.08215	L
1	68.5	-0.3521	8.0816	0.08216	L
1	68.6	-0.3521	8.1044	0.08217	L
1	68.7	-0.3521	8.1272	0.08217	L
1	68.8	-0.3521	8.15	0.08218	L
1	68.9	-0.3521	8.1727	0.08219	L
1	69	-0.3521	8.1955	0.08219	L
1	69.1	-0.3521	8.2183	0.0822	L
1	69.2	-0.3521	8.241	0.08221	L
1	69.3	-0.3521	8.2638	0.08222	L
1	69.4	-0.3521	8.2865	0.08223	L
1	69.5	-0.3521	8.3092	0.08224	L
1	69.6	-0.3521	8.332	0.08225	L
1	69.7	-0.3521	8.3547	0.08226	L
1	69.8	-0.3521	8.3774	0.08227	L
1	69.9	-0.3521	8.4001	0.08228	L
1	70	-0.3521	8.4227	0.08229	L
1	70.1	-0.3521	8.4454	0.0823	L
1	70.2	-0.3521	8.468	0.08231	L
1	70.3	-0.3521	8.4906	0.08232	L
1	70.4	-0.3521	8.5132	0.08233	L
1	70.5	-0.3521	8.5358	0.08235	L
1	70.6	-0.3521	8.5583	0.08236	L
1	70.7	-0.3521	8.5808	0.08237	L
1	70.8	-0.3521	8.6032	0.08238	L
1	70.9	-0.3521	8.6257	0.0824	L
1	71	-0.3521	8.648	0.08241	L
1	71.1	-0.3521	8.6704	0.08242	L
1	71.2	-0.3521	8.6927	0.08243	L
1	71.3	-0.3521	8.715	0.08245	L
1	71.4	-0.3521	8.7372	0.08246	L
1	71.5	-0.3521	8.7594	0.08248	L
1	71.6	-0.3521	8.7815	0.08249	L
1	71.7	-0.3521	8.8036	0.0825	L
1	71.8	-0.3521	8.8257	0.08252	L
1	71.9	-0.3521	8.8477	0.08253	L
1	72	-0.3521	8.8697	0.08254	L
1	72.1	-0.3521	8.8916	0.08256	L
1	72.2	-0.3521	8.9135	0.08257	L
1	72.3	-0.3521	8.9353	0.08259	L
1	72.4	-0.3521	8.9571	0.0826	L
1	72.5	-0.3521	8.9788	0.08262	L
1	72.6	-0.3521	9.0005	0.08263	L
1	72.7	-0.3521	9.0221	0.08264	L
1	72.8	-0.3521	9.0436	0.08266	L
1	72.9	-0.3521	9.0651	0.08267	L
1	73	-0.3521	9.0865	0.08269	L
1	73.1	-0.3521	9.1079	0.0827	L
1	73.2	-0.3521	9.1292	0.08272	L
1	73.3	-0.3521	9.1504	0.08273	L
1	73.4	-0.3521	9.1716	0.08274	L
1	73.5	-0.3521	9.1927	0.08276	L
1	73.6	-0.3521	9.2137	0.08277	L
1	73.7	-0.3521	9.2347	0.08278	L
1	73.8	-0.3521	9.2557	0.0828	L
1	73.9	-0.3521	9.2766	0.08281	L
1	74	-0.3521	9.2974	0.08283	L
1	74.1	-0.3521	9.3182	0.08284	L
1	74.2	-0.3521	9.339	0.08285	L
1	74.3	-0.3521	9.3597	0.08287	L
1	74.4	-0.3521	9.3803	0.08288	L
1	74.5	-0.3521	9.401	0.08289	L
1	74.6	-0.3521	9.4215	0.0829	L
1	74.7	-0.3521	9.442	0.08292	L
1	74.8	-0.3521	9.4625	0.08293	L
1	74.9	-0.3521	9.4829	0.08294	L
1	75	-0.3521	9.5032	0.08295	L
1	75.1	-0.3521	9.5235	0.08297	L
1	75.2	-0.3521	9.5438	0.08298	L
1	75.3	-0.3521	9.5639	0.08299	L
1	75.4	-0.3521	9.5841	0.083	L
1	75.5	-0.3521	9.6041	0.08301	L
1	75.6	-0.3521	9.6241	0.08302	L
1	75.7	-0.3521	9.644	0.08303	L
1	75.8	-0.3521	9.6639	0.08305	L
1	75.9	-0.3521	9.6836	0.08306	L
1	76	-0.3521	9.7033	0.08307	L
1	76.1	-0.3521	9.723	0.08307	L
1	76.2	-0.3521	9.7425	0.08308	L
1	76.3	-0.3521	9.762	0.08309	L
1	76.4	-0.3521	9.7814	0.0831	L
1	76.5	-0.3521	9.8007	0.08311	L
1	76.6	-0.3521	9.82	0.08312	L
1	76.7	-0.3521	9.8392	0.08312	L
1	76.8	-0.3521	9.8583	0.08313	L
1	76.9	-0.3521	9.8773	0.08314	L
1	77	-0.3521	9.8963	0.08314	L
1	77.1	-0.3521	9.9152	0.08315	L
1	77.2	-0.3521	9.9341	0.08315	L
1	77.3	-0.3521	9.9528	0.08316	L
1	77.4	-0.3521	9.9716	0.08316	L
1	77.5	-0.3521	9.9902	0.08317	L
1	77.6	-0.3521	10.0088	0.08317	L
1	77.7	-0.3521	10.0274	0.08317	L
1	77.8	-0.3521	10.0459	0.08318	L
1	77.9	-0.3521	10.0643	0.08318	L
1	78	-0.3521	10.0827	0.08318	L
1	78.1	-0.3521	10.1011	0.08318	L
1	78.2	-0.3521	10.1194	0.08318	L
1	78.3	-0.3521	10.1377	0.08318	L
1	78.4	-0.3521	10.1559	0.08318	L
1	78.5	-0.3521	10.1741	0.08318	L
1	78.6	-0.3521	10.1923	0.08317	L
1	78.7	-0.3521	10.2105	0.08317	L
1	78.8	-0.3521	10.2286	0.08317	L
1	78.9	-0.3521	10.2468	0.08316	L
1	79	-0.3521	10.2649	0.08316	L
1	79.1	-0.3521	10.2831	0.08315	L
1	79.2	-0.3521	10.3012	0.08315	L
1	79.3	-0.3521	10.3194	0.08314	L
1	79.4	-0.3521	10.3376	0.08313	L
1	79.5	-0.3521	10.3558	0.08313	L
1	79.6	-0.3521	10.3741	0.08312	L
1	79.7	-0.3521	10.3923	0.08311	L
1	79.8	-0.3521	10.4107	0.0831	L
1	79.9	-0.3521	10.4291	0.08309	L
1	80	-0.3521	10.4475	0.08308	L
1	80.1	-0.3521	10.466	0.08307	L
1	80.2	-0.3521	10.4845	0.08305	L
1	80.3	-0.3521	10.5031	0.08304	L
1	80.4	-0.3521	10.5217	0.08303	L
1	80.5	-0.3521	10.5405	0.08301	L
1	80.6	-0.3521	10.5592	0.083	L
1	80.7	-0.3521	10.5781	0.08298	L
1	80.8	-0.3521	10.597	0.08297	L
1	80.9	-0.3521	10.6161	0.08295	L
1	81	-0.3521	10.6352	0.08293	L
1	81.1	-0.3521	10.6544	0.08291	L
1	81.2	-0.3521	10.6737	0.0829	L
1	81.3	-0.3521	10.6931	0.08288	L
1	81.4	-0.3521	10.7126	0.08286	L
1	81.5	-0.3521	10.7322	0.08284	L
1	81.6	-0.3521	10.752	0.08282	L
1	81.7	-0.3521	10.7718	0.08279	L
1	81.8	-0.3521	10.7918	0.08277	L
1	81.9	-0.3521	10.8119	0.08275	L
1	82	-0.3521	10.8321	0.08273	L
1	82.1	-0.3521	10.8524	0.0827	L
1	82.2	-0.3521	10.8728	0.08268	L
1	82.3	-0.3521	10.8934	0.08265	L
1	82.4	-0.3521	10.9142	0.08263	L
1	82.5	-0.3521	10.935	0.0826	L
1	82.6	-0.3521	10.956	0.08258	L
1	82.7	-0.3521	10.9772	0.08255	L
1	82.8	-0.3521	10.9985	0.08252	L
1	82.9	-0.3521	11.0199	0.08249	L
1	83	-0.3521	11.0415	0.08246	L
1	83.1	-0.3521	11.0632	0.08244	L
1	83.2	-0.3521	11.0851	0.08241	L
1	83.3	-0.3521	11.1071	0.08238	L
1	83.4	-0.3521	11.1293	0.08235	L
1	83.5	-0.3521	11.1516	0.08231	L
1	83.6	-0.3521	11.174	0.08228	L
1	83.7	-0.3521	11.1966	0.08225	L
1	83.8	-0.3521	11.2193	0.08222	L
1	83.9	-0.3521	11.2422	0.08219	L
1	84	-0.3521	11.2651	0.08215	L
1	84.1	-0.3521	11.2882	0.08212	L
1	84.2	-0.3521	11.3114	0.08209	L
1	84.3	-0.3521	11.3347	0.08205	L
1	84.4	-0.3521	11.3581	0.08202	L
1	84.5	-0.3521	11.3817	0.08198	L
1	84.6	-0.3521	11.4053	0.08195	L
1	84.7	-0.3521	11.429	0.08191	L
1	84.8	-0.3521	11.4529	0.08188	L
1	84.9	-0.3521	11.4768	0.08184	L
1	85	-0.3521	11.5007	0.08181	L
1	85.1	-0.3521	11.5248	0.08177	L
1	85.2	-0.3521	11.549	0.08174	L
1	85.3	-0.3521	11.5732	0.0817	L
1	85.4	-0.3521	11.5975	0.08166	L
1	85.5	-0.3521	11.6218	0.08163	L
1	85.6	-0.3521	11.6462	0.08159	L
1	85.7	-0.3521	11.6707	0.08156	L
1	85.8	-0.3521	11.6952	0.08152	L
1	85.9	-0.3521	11.7198	0.08148	L
1	86	-0.3521	11.7444	0.08145	L
1	86.1	-0.3521	11.769	0.08141	L
1	86.2	-0.3521	11.7937	0.08138	L
1	86.3	-0.3521	11.8184	0.08134	L
1	86.4	-0.3521	11.8431	0.08131	L
1	86.5	-0.3521	11.8678	0.08128	L
1	86.6	-0.3521	11.8926	0.08124	L
1	86.7	-0.3521	11.9173	0.08121	L
1	86.8	-0.3521	11.9421	0.08118	L
1	86.9	-0.3521	11.9668	0.08114	L
1	87	-0.3521	11.9916	0.08111	L
1	87.1	-0.3521	12.0163	0.08108	L
1	87.2	-0.3521	12.0411	0.08105	L
1	87.3	-0.3521	12.0658	0.08102	L
1	87.4	-0.3521	12.0905	0.08099	L
1	87.5	-0.3521	12.1152	0.08096	L
1	87.6	-0.3521	12.1398	0.08093	L
1	87.7	-0.3521	12.1645	0.0809	L
1	87.8	-0.3521	12.1891	0.08087	L
1	87.9	-0.3521	12.2136	0.08084	L
1	88	-0.3521	12.2382	0.08082	L
1	88.1	-0.3521	12.2627	0.08079	L
1	88.2	-0.3521	12.2871	0.08076	L
1	88.3	-0.3521	12.3116	0.08074	L
1	88.4	-0.3521	12.336	0.08071	L
1	88.5	-0.3521	12.3603	0.08069	L
1	88.6	-0.3521	12.3846	0.08067	L
1	88.7	-0.3521	12.4089	0.08064	L
1	88.8	-0.3521	12.4332	0.08062	L
1	88.9	-0.3521	12.4574	0.0806	L
1	89	-0.3521	12.4815	0.08058	L
1	89.1	-0.3521	12.5057	0.08056	L
1	89.2	-0.3521	12.5298	0.08054	L
1	89.3	-0.3521	12.5538	0.08052	L
1	89.4	-0.3521	12.5778	0.0805	L
1	89.5	-0.3521	12.6017	0.08048	L
1	89.6	-0.3521	12.6257	0.08047	L
1	89.7	-0.3521	12.6495	0.08045	L
1	89.8	-0.3521	12.6734	0.08044	L
1	89.9	-0.3521	12.6972	0.08042	L
1	90	-0.3521	12.7209	0.08041	L
1	90.1	-0.3521	12.7446	0.08039	L
1	90.2	-0.3521	12.7683	0.08038	L
1	90.3	-0.3521	12.792	0.08037	L
1	90.4	-0.3521	12.8156	0.08035	L
1	90.5	-0.3521	12.8392	0.08034	L
1	90.6	-0.3521	12.8628	0.08033	L
1	90.7	-0.3521	12.8864	0.08032	L
1	90.8	-0.3521	12.9099	0.08031	L
1	90.9	-0.3521	12.9334	0.0803	L
1	91	-0.3521	12.9569	0.0803	L
1	91.1	-0.3521	12.9804	0.08029	L
1	91.2	-0.3521	13.0038	0.08028	L
1	91.3	-0.3521	13.0273	0.08027	L
1	91.4	-0.3521	13.0507	0.08027	L
1	91.5	-0.3521	13.0742	0.08026	L
1	91.6	-0.3521	13.0976	0.08026	L
1	91.7	-0.3521	13.1209	0.08025	L
1	91.8	-0.3521	13.1443	0.08025	L
1	91.9	-0.3521	13.1677	0.08025	L
1	92	-0.3521	13.191	0.08025	L
1	92.1	-0.3521	13.2143	0.08025	L
1	92.2	-0.3521	13.2376	0.08024	L
1	92.3	-0.3521	13.2609	0.08024	L
1	92.4	-0.3521	13.2842	0.08024	L
1	92.5	-0.3521	13.3075	0.08025	L
1	92.6	-0.3521	13.3308	0.08025	L
1	92.7	-0.3521	13.3541	0.08025	L
1	92.8	-0.3521	13.3773	0.08025	L
1	92.9	-0.3521	13.4006	0.08026	L
1	93	-0.3521	13.4239	0.08026	L
1	93.1	-0.3521	13.4472	0.08027	L
1	93.2	-0.3521	13.4705	0.08027	L
1	93.3	-0.3521	13.4937	0.08028	L
1	93.4	-0.3521	13.5171	0.08028	L
1	93.5	-0.3521	13.5404	0.08029	L
1	93.6	-0.3521	13.5637	0.0803	L
1	93.7	-0.3521	13.587	0.08031	L
1	93.8	-0.3521	13.6104	0.08032	L
1	93.9	-0.3521	13.6338	0.08033	L
1	94	-0.3521	13.6572	0.08034	L
1	94.1	-0.3521	13.6806	0.08035	L
1	94.2	-0.3521	13.7041	0.08036	L
1	94.3	-0.3521	13.7275	0.08037	L
1	94.4	-0.3521	13.751	0.08038	L
1	94.5	-0.3521	13.7746	0.0804	L
1	94.6	-0.3521	13.7981	0.08041	L
1	94.7	-0.3521	13.8217	0.08043	L
1	94.8	-0.3521	13.8454	0.08044	L
1	94.9	-0.3521	13.8691	0.08046	L
1	95	-0.3521	13.8928	0.08047	L
1	95.1	-0.3521	13.9165	0.08049	L
1	95.2	-0.3521	13.9403	0.08051	L
1	95.3	-0.3521	13.9642	0.08052	L
1	95.4	-0.3521	13.9881	0.08054	L
1	95.5	-0.3521	14.012	0.08056	L
1	95.6	-0.3521	14.036	0.08058	L
1	95.7	-0.3521	14.06	0.0806	L
1	95.8	-0.3521	14.0841	0.08062	L
1	95.9	-0.3521	14.1083	0.08064	L
1	96	-0.3521	14.1325	0.08067	L
1	96.1	-0.3521	14.1567	0.08069	L
1	96.2	-0.3521	14.1811	0.08071	L
1	96.3	-0.3521	14.2055	0.08073	L
1	96.4	-0.3521	14.2299	0.08076	L
1	96.5	-0.3521	14.2544	0.08078	L
1	96.6	-0.3521	14.279	0.08081	L
1	96.7	-0.3521	14.3037	0.08083	L
1	96.8	-0.3521	14.3284	0.08086	L
1	96.9	-0.3521	14.3533	0.08089	L
1	97	-0.3521	14.3782	0.08092	L
1	97.1	-0.3521	14.4031	0.08094	L
1	97.2	-0.3521	14.4282	0.08097	L
1	97.3	-0.3521	14.4533	0.081	L
1	97.4	-0.3521	14.4785	0.08103	L
1	97.5	-0.3521	14.5038	0.08106	L
1	97.6	-0.3521	14.5292	0.08109	L
1	97.7	-0.3521	14.5547	0.08112	L
1	97.8	-0.3521	14.5802	0.08116	L
1	97.9	-0.3521	14.6058	0.08119	L
1	98	-0.3521	14.6316	0.08122	L
1	98.1	-0.3521	14.6574	0.08125	L
1	98.2	-0.3521	14.6832	0.08129	L
1	98.3	-0.3521	14.7092	0.08132	L
1	98.4	-0.3521	14.7353	0.08136	L
1	98.5	-0.3521	14.7614	0.08139	L
1	98.6	-0.3521	14.7877	0.08143	L
1	98.7	-0.3521	14.814	0.08146	L
1	98.8	-0.3521	14.8404	0.0815	L
1	98.9	-0.3521	14.8669	0.08154	L
1	99	-0.3521	14.8934	0.08157	L
1	99.1	-0.3521	14.9201	0.08161	L
1	99.2	-0.3521	14.9468	0.08165	L
1	99.3	-0.3521	14.9736	0.08169	L
1	99.4	-0.3521	15.0005	0.08173	L
1	99.5	-0.3521	15.0275	0.08177	L
1	99.6	-0.3521	15.0546	0.08181	L
1	99.7	-0.3521	15.0818	0.08185	L
1	99.8	-0.3521	15.109	0.08189	L
1	99.9	-0.3521	15.1363	0.08194	L
1	100	-0.3521	15.1637	0.08198	L
1	100.1	-0.3521	15.1912	0.08202	L
1	100.2	-0.3521	15.2187	0.08206	L
1	100.3	-0.3521	15.2463	0.08211	L
1	100.4	-0.3521	15.274	0.08215	L
1	100.5	-0.3521	15.3018	0.0822	L
1	100.6	-0.3521	15.3297	0.08224	L
1	100.7	-0.3521	15.3576	0.08229	L
1	100.8	-0.3521	15.3856	0.08233	L
1	100.9	-0.3521	15.4137	0.08238	L
1	101	-0.3521	15.4419	0.08243	L
1	101.1	-0.3521	15.4701	0.08247	L
1	101.2	-0.3521	15.4985	0.08252	L
1	101.3	-0.3521	15.5268	0.08257	L
1	101.4	-0.3521	15.5553	0.08262	L
1	101.5	-0.3521	15.5838	0.08267	L
1	101.6	-0.3521	15.6125	0.08272	L
1	101.7	-0.3521	15.6412	0.08277	L
1	101.8	-0.3521	15.6699	0.08281	L
1	101.9	-0.3521	15.6987	0.08287	L
1	102	-0.3521	15.7276	0.08292	L
1	102.1	-0.3521	15.7566	0.08297	L
1	102.2	-0.3521	15.7857	0.08302	L
1	102.3	-0.3521	15.8148	0.08307	L
1	102.4	-0.3521	15.844	0.08312	L
1	102.5	-0.3521	15.8732	0.08317	L
1	102.6	-0.3521	15.9026	0.08322	L
1	102.7	-0.3521	15.932	0.08328	L
1	102.8	-0.3521	15.9615	0.08333	L
1	102.9	-0.3521	15.991	0.08338	L
1	103	-0.3521	16.0206	0.08343	L
1	103.1	-0.3521	16.0503	0.08349	L
1	103.2	-0.3521	16.0801	0.08354	L
1	103.3	-0.3521	16.1099	0.08359	L
1	103.4	-0.3521	16.1398	0.08365	L
1	103.5	-0.3521	16.1697	0.0837	L
1	103.6	-0.3521	16.1997	0.08376	L
1	103.7	-0.3521	16.2298	0.08381	L
1	103.8	-0.3521	16.26	0.08386	L
